Milchviehbetrieb

Melken Morgenroutine: templateName: Melken – Morgenroutine; taskName: Kühe morgens melken; taskPriority: high; defaultDuration: 1; taskDescription: Vorbereitung (Hände, Geräte, Filter), Vorreinigung Zitzen (Einwegtuch + Vorwäsche), Vormilchprobe Sichtkontrolle, Anschließen Melkzeug, Durchfluss beobachten (Leitfähigkeit/Abweichungen), Abnahme, Nachdippen. KPI: Zeit/Kuh, Mastitis-Anzeichen, Zellzahl-Trends. Hygieneprotokoll einhalten.
Melkanlage CIP-Reinigung: templateName: CIP-Reinigung Melkanlage; taskName: Anlage reinigen & desinfizieren; taskPriority: medium; defaultDuration: 1; taskDescription: Vorspülen (lauwarm), Hauptreinigung (alkalisch 70–75°C), Zwischenspülen, Säuregang (Entkalkung), Endspülen, Filterwechsel, Sichtprüfung Dichtungen. Dokumentation Temperatur & Leitfähigkeit.
Futterration Mischen: templateName: TMR-Mischung Tagesration; taskName: Totalmischration herstellen & verteilen; taskPriority: high; defaultDuration: 1; taskDescription: Bestand abrufen (Kuhgruppen), Trockenmasse prüfen, Komponenten wiegen (Silage, Kraftfutter, Mineral), Mischreihenfolge einhalten, Mischzeit protokollieren, Verteilung entlang Fressgitter, Nachschieben nach 4h. Ziel: Gleichmäßigkeit, Restfutter <5%.
Stall Misten & Einstreuen: templateName: Stallpflege – Misten; taskName: Liegeboxen reinigen & neu einstreuen; taskPriority: medium; defaultDuration: 1; taskDescription: Entfernen verschmutzter Einstreu, Sichtkontrolle Liegekomfort, Kalk/Desinfektionsstreu (falls Protokoll), frische Einstreu einbringen (Tiefe prüfen), ammoniakhaltige Bereiche melden. Ziel: Sauberkeitsindex verbessern.
Gesundheitskontrolle Herde: templateName: Tägliche Gesundheitsrunde; taskName: Sichtprüfung Kühe; taskPriority: high; defaultDuration: 1; taskDescription: Futteraufnahme, Wiederkauaktivität (Ruminationssensor), Lahmheit (Locomotion Score), Körperkondition, Temperatur bei Auffälligen, Kotkonsistenz Stichprobe. Auffällige Tiere markieren + Eintrag ins System.
Brunsterkennung: templateName: Brunsterkennung Zyklus; taskName: Brunstanzeichen erfassen; taskPriority: medium; defaultDuration: 1; taskDescription: Aktivitätsdaten Sensor prüfen, Beobachtung (Aufspringen, Schleim, Unruhe), Zyklusliste abgleichen, Besamungstermin planen (AM/PM-Regel), Nicht-Rinder nach 60 Tagen post partum flaggen.
Milchqualität Test: templateName: Milchqualität – Schnelltest; taskName: Leitfähigkeit & Zellzahl prüfen; taskPriority: high; defaultDuration: 1; taskDescription: Sammelprobe Tank, Schnelltest SCC, Leitfähigkeitsabweichung vs. Basis, Kühlkettentemperatur dokumentieren, Proben für Labor kennzeichnen. Abweichungen an QM senden.
Impfplan Umsetzung: templateName: Impfplan Kalbinnen; taskName: Impfungen durchführen & loggen; taskPriority: medium; defaultDuration: 1; taskDescription: Bestandsliste (Alter), Impfstoffe prüfen (Verfalldatum/Kühlung), Dosierung, Verabreichung (subkutan / intramuskulär), Tier-ID & Charge dokumentieren, Nebenwirkungen beobachten.
Klauenpflege Termin: templateName: Klauenpflege – Routine; taskName: Klauen schneiden & kontrollieren; taskPriority: medium; defaultDuration: 1; taskDescription: Klauenstand vorbereiten, Werkzeug schärfen, Klauen reinigen, Längenjustierung, Sohlendicke prüfen, Druckstellen & Mortellaro erfassen, Verband anlegen bei Läsion. Nachkontrolle planen (10–14 Tage).
Güllemanagement Kontrolle: templateName: Güllebehälter Monitoring; taskName: Füllstand & Technik prüfen; taskPriority: low; defaultDuration: 1; taskDescription: Füllstand messen, Rührwerke Sichtkontrolle, Dichtung Lager, Abflusswege frei, Emissionsprotokoll (falls Pflicht). Wartung anstoßen falls Anomalien.
Pferd & Hufpflege
